State,Boys' Toilet,Computers used for pedagogical purposes,Conducting Medical Checkup of Students in Last Academic Year,Digital Library,Drinking Water,Electricity,Functional Boys' Toilet,Functional Drinking Water,Functional Electricity,Functional Girls' Toilet,Girls' Toilet,Hand wash facility,Internet Facility,Kitchen Garden,Library/ Book Bank/ Reading Corner,Playground,Pupil Teacher Ratio,Rainwater Harvesting System,Ramp,Ramp and Handrails,Schools with CWSN Toilet facilities,Solar Panel,functional Computers used for pedagogical purposes
Andaman And Nicobar Islands,0.9951923076923077,0.40384615384615385,0.6706730769230769,0.019230769230769232,1.0,0.9278846153846154,0.9927884615384616,1.0,0.9278846153846154,0.9951923076923077,0.9975961538461539,1.0,0.4495192307692308,0.5144230769230769,0.9951923076923077,0.9615384615384616,0.03365384615384615,0.22596153846153846,0.6274038461538461,0.35336538461538464,0.23076923076923078,0.03125,0.4014423076923077
Andhra Pradesh,0.8560566927100148,0.11695292826241364,0.8807548266287855,0.05020339639697811,0.9994672951507716,0.9882966358881643,0.8359753341512236,0.9911700135597598,0.979595790017434,0.9568831923548783,0.9664557370698005,0.9842287079486021,0.5608574933815458,0.27737780073610124,0.9757215729321367,0.7937463679214826,0.0004197068509072125,0.34735584683928455,0.5376444760121392,0.3591883515206302,0.19913475818428358,0.056224575450377734,0.10361916446051526
Arunachal Pradesh,0.919511518179295,0.07632528448515126,0.35942270330280324,0.008881487649181239,0.8190396891479322,0.6666666666666666,0.6724951429364419,0.6794338051623647,0.5378850957535387,0.6869275603663614,0.9122953094643352,0.4524007771301693,0.22037191229530947,0.2070496808215376,0.44990285872883706,0.6822092700527338,0.004163197335553705,0.04940327504857064,0.2453510963086317,0.176797113516514,0.10435747987787955,0.04884818207049681,0.0729947266167083
Assam,0.8523636602638887,0.046533791222333594,0.58522157774528,0.005159466964623145,0.9387107905157824,0.7707487799668086,0.7649813503343794,0.9133571041259304,0.7506367176588508,0.8242002004633662,0.8833697563219902,0.8921277050230861,0.11709032353472781,0.5281716755122496,0.8736259222136413,0.784386861433806,0.0003450598925384906,0.05489738576052843,0.6932088926863734,0.6156525739824841,0.18229021180104832,0.030628173318654594,0.043559703577120884
Bihar,0.9657274727633768,0.020501261203241562,0.13847474910105725,0.010315032469274942,0.9972736542693071,0.8875221381420061,0.9553158374926206,0.9926045188643804,0.8754789888906779,0.974571995921215,0.9825900284441582,0.863639778886921,0.11142596468630923,0.19543820104116352,0.6335104384693823,0.49842752106477756,0.0005044812966242688,0.1539955992057103,0.7103418665807976,0.37513014544088447,0.14418504803305962,0.08255246068802662,0.019363494874684698
Chandigarh,0.9871244635193133,0.8240343347639485,0.27467811158798283,0.10300429184549356,1.0,1.0,0.9871244635193133,1.0,1.0,0.9957081545064378,0.9957081545064378,1.0,0.9871244635193133,0.7553648068669528,0.9828326180257511,0.9527896995708155,0.12446351931330472,0.5236051502145923,0.8755364806866953,0.5407725321888412,0.7339055793991416,0.6781115879828327,0.8240343347639485
Chhattisgarh,0.9642730747451869,0.059120186862967154,0.6537726500566251,0.013483861834654587,0.9997876557191393,0.9578850509626274,0.9196276896942243,0.9831363250283126,0.9140005662514157,0.9612825594563986,0.9777038505096263,0.98184456398641,0.3669132219705549,0.5447692525481314,0.9818976500566251,0.7915840883352209,0.00040699320498301247,0.37554855605889015,0.8348138448471121,0.6089149207248018,0.7299157701019252,0.036894818799547,0.043972961494903734
Delhi,0.8499733048585157,0.4605801744082577,0.4119950169069229,0.04876312511122976,1.0,1.0,0.8499733048585157,1.0,1.0,0.8352019932372309,0.8352019932372309,1.0,1.0,0.34792667734472327,1.0,0.9647624132407902,0.005339028296849973,0.8974906567004806,1.0,1.0,1.0,0.2811888236340986,0.4605801744082577
Goa,0.9920529801324504,0.2993377483443709,0.24304635761589405,0.01456953642384106,1.0,1.0,0.990728476821192,1.0,1.0,0.9920529801324504,0.9920529801324504,1.0,0.5821192052980132,0.23774834437086093,0.9973509933774835,0.8940397350993378,0.01456953642384106,0.030463576158940398,0.6072847682119206,0.5503311258278145,0.06754966887417219,0.018543046357615896,0.29735099337748344
Gujarat,0.9595736383725465,0.20753560750960984,0.8263541995506118,0.025013463074037623,0.9997214536406009,0.999591465339548,0.9409110322928079,0.999312918980149,0.9995728955822547,0.9573638372546471,0.9718296781861061,0.9672986574065477,0.9196115206774248,0.4239289892481105,0.9599264637611187,0.8824162968190006,0.0005756624760914374,0.22255854115986703,0.8194091103229281,0.593025199160647,0.3493342742010362,0.05502219085996546,0.2030974355165178
Haryana,0.9342493467082525,0.28618393323779817,0.6258956419118267,0.028871280451825004,0.997639720138245,0.9914018376464638,0.9280114642164714,0.9949001095844221,0.9782095591334401,0.9533001770209897,0.9600859816235353,0.9946050746017028,0.5124336171288881,0.3505858551799713,0.970496501728062,0.8985501137992076,0.001053696366854927,0.3090702183258872,0.7264604231644609,0.4586108067099385,0.4377476186462109,0.16429233752002023,0.2807047121301526
Himachal Pradesh,0.9829154648324828,0.14921233636565343,0.19458619924561793,0.012868870645662302,0.9997781229199024,0.9865209673840692,0.9758153982693588,0.9982249833592189,0.9778122919902374,0.9840803195029953,0.9896827157754604,0.9938983802973153,0.3447415132016863,0.3293765254049257,0.9592855558020856,0.8684268915021078,0.0007765697803416907,0.09601730641224762,0.7758486798313734,0.6549256711781672,0.23507876636343467,0.04470823163967162,0.1473263811848236
Jammu And Kashmir,0.865197014407221,0.09862871029335185,0.3959729213678181,0.011699357750390557,0.9736156917201875,0.7656309668460337,0.7876410345426141,0.9530637042180177,0.7294219753515014,0.8237458774518313,0.8855059885436556,0.9626800902621073,0.29737892726957127,0.11883353584447144,0.7217844124283979,0.6181565700399236,0.0005554591216802639,0.021211595209165074,0.3934733553202569,0.1485853150494706,0.04290921714980038,0.0896719319562576,0.09682346814789099
Jharkhand,0.9658232081150373,0.061576189945379556,0.2842715416341545,0.01881618548656783,0.9827666926764017,0.9524690669936462,0.9443094415338312,0.9587559915282577,0.9209229740274217,0.9650429160628693,0.9837030431390035,0.91450228514101,0.372890424701817,0.19208560918515216,0.9390034555790882,0.7115148812841378,0.0008471742280682198,0.20300969791550552,0.6421357708170773,0.37075019507301304,0.0519451566157619,0.07167539850629807,0.05415226842046594
Karnataka,0.9456769130150425,0.11525179856115107,0.8372531066056246,0.03701765860039241,0.9971223021582734,0.9906605624591236,0.9339829954218444,0.9803793328973185,0.9858731196860693,0.9725179856115108,0.9799607586657947,0.8933551340745586,0.29548724656638325,0.32538914323086987,0.9637410071942446,0.8127926749509483,0.00036625245258338783,0.34007848266841073,0.7041726618705036,0.5851536952256376,0.1703989535644212,0.1284107259646828,0.10643557880967953
Kerala,0.9792487684729064,0.8360837438423645,0.6802339901477833,0.07407635467980296,0.9986453201970443,0.9956896551724138,0.9767857142857143,0.996551724137931,0.9951970443349754,0.9903940886699507,0.9920566502463054,0.992179802955665,0.9519088669950739,0.583435960591133,0.9844211822660098,0.8798645320197044,0.001477832512315271,0.29064039408866993,0.7804802955665024,0.6092980295566502,0.2554802955665025,0.06822660098522168,0.8317733990147783
Ladakh,0.9519427402862985,0.16257668711656442,0.4437627811860941,0.0408997955010225,0.9948875255623721,0.9335378323108384,0.9294478527607362,0.9171779141104295,0.9222903885480572,0.8987730061349694,0.911042944785276,0.6349693251533742,0.4274028629856851,0.18813905930470348,0.9754601226993865,0.7648261758691206,0.010224948875255624,0.010224948875255624,0.787321063394683,0.3128834355828221,0.24028629856850717,0.1574642126789366,0.16155419222903886
Lakshadweep,1.0,0.7894736842105263,1.0,0.07894736842105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,0.8947368421052632,1.0,0.9736842105263158,0.4473684210526316,0.47368421052631576,0.9473684210526315,0.7631578947368421,0.6052631578947368,0.02631578947368421,0.7894736842105263
Madhya Pradesh,0.9613001863324362,0.027400423627589942,0.4091032154289628,0.020791196190536862,0.9842095204726792,0.7711375834116354,0.9278797916898919,0.9414884298705228,0.7484432482362122,0.9478428437196413,0.9741682725231323,0.9298705228456308,0.2752146008185887,0.14664521985634885,0.9481772865538055,0.8051153827777866,0.00021499896481979902,0.14343616123329778,0.8028539121848672,0.3816868659521269,0.10237135895271615,0.04436941599910815,0.025879505024605436
Maharashtra,0.9497650654623421,0.2493225674011222,0.6642397700834816,0.04841932393595183,0.994717394279458,0.9497194471055153,0.909356324985174,0.9799735413530405,0.8555357876009306,0.9370284202363031,0.9687058072168241,0.9844350166507002,0.4794763012636285,0.3515168103644907,0.9776470051548743,0.930669221294649,0.0002737101409607226,0.22811915514803158,0.9273025865608321,0.7884676793941883,0.526864650335295,0.10484010765932211,0.23425026230555177
Manipur,0.8704786658003032,0.04396794455273988,0.19991336365605372,0.009746588693957114,0.9885206844271172,0.6651505306476067,0.7478882391163093,0.9835390946502057,0.5449426034221356,0.752653238033355,0.8689625297812432,0.8323586744639376,0.23066926575698504,0.2839506172839506,0.2570933506606021,0.8689625297812432,0.0034654537578514186,0.19883040935672514,0.49620965995235,0.3640892354342647,0.08165475416937405,0.07580680095299978,0.04158544509421702
Meghalaya,0.8628767123287672,0.019794520547945206,0.2878082191780822,0.00726027397260274,0.5303424657534247,0.2652739726027397,0.7306849315068493,0.4602739726027397,0.24664383561643835,0.6960958904109589,0.816986301369863,0.37883561643835617,0.1684931506849315,0.12164383561643835,0.23753424657534247,0.4367123287671233,0.0014383561643835617,0.09226027397260274,0.30383561643835616,0.21226027397260275,0.026164383561643835,0.018356164383561645,0.018904109589041096
Mizoram,0.9414472002045513,0.015085655842495525,0.30938378931219634,0.0012784454103809768,0.9171567374073127,0.843006903605216,0.8698542572232165,0.9020710815648172,0.7962158015852723,0.8683201227307594,0.9296855024290462,0.7274354385067757,0.07849654819739198,0.3556635131679877,0.825875735106111,0.8038864740475582,0.0033239580669905395,0.4461774482229609,0.44285349015597036,0.18972129890053693,0.1764254666325748,0.011250319611352595,0.015085655842495525
Nagaland,0.9135393671817513,0.11368653421633554,0.16151582045621782,0.012509197939661517,0.6607799852832965,0.7630610743193524,0.7619573215599705,0.6055923473142016,0.6710816777041942,0.7707873436350258,0.9061810154525386,0.6052244297277409,0.5088300220750552,0.394775570272259,0.7233259749816041,0.7292126563649742,0.0051508462104488595,0.30353200883002207,0.37858719646799116,0.16409124356144222,0.054451802796173655,0.08351729212656366,0.10743193524650478
Odisha,0.9356728901446437,0.062047486795845305,0.423801191183317,0.027804979852627185,0.9883610794496798,0.8429147067794706,0.8763866369138399,0.970108041290074,0.7665152269188166,0.9012698463662487,0.9596892006870976,0.9672023245733734,0.1490423977781702,0.4824613507569312,0.9465251802025975,0.6396108587115313,0.00036923472090671206,0.03880175306224013,0.80473904737442,0.6948836910629144,0.547976433192596,0.036361593167552296,0.05981602478688735
Puducherry,0.9551630434782609,0.563858695652174,0.7092391304347826,0.042119565217391304,1.0,1.0,0.9551630434782609,1.0,1.0,0.9646739130434783,0.9646739130434783,0.9959239130434783,0.9836956521739131,0.19972826086956522,0.9959239130434783,0.9184782608695652,0.028532608695652172,0.38315217391304346,0.6535326086956522,0.5788043478260869,0.3804347826086957,0.033967391304347824,0.5448369565217391
Punjab,0.972239269340457,0.47456770513699864,0.5917836901194903,0.06364391177213818,0.9999278004404173,0.9998917006606259,0.9681599942240352,0.9997473015414606,0.999783401321252,0.986318183459081,0.9886285693657269,0.9996029024222952,0.5930832821919786,0.8661781163134905,0.9955236273058734,0.9754160499620952,0.0008663947149922385,0.1650120934262301,0.897043428035089,0.8510162088011263,0.7956030468214144,0.08985235190065341,0.4693332370672539
Rajasthan,0.9438767356378028,0.09960234269974523,0.4685681516926288,0.0213211999285533,0.9794590732610718,0.8770834704295263,0.8798379287977213,0.9247647429328871,0.8669399189643988,0.9258458443401991,0.979553082079099,0.9678959886437348,0.5985917479059536,0.2415180543935021,0.7749992949338648,0.8035121694414936,0.00022562116326511428,0.2837092119240785,0.6529758491346488,0.4143908698635932,0.19833040339183816,0.04089383584180196,0.09531554059770807
Sikkim,0.9912629070691025,0.3216838760921366,0.653693407466243,0.056393963463065924,0.9952343129467831,0.9960285941223193,0.9849086576648134,0.9928514694201748,0.9841143764892772,0.9213661636219221,0.9245432883240667,0.9729944400317713,0.34471803018268465,0.39555202541699763,0.8991262907069102,0.8562351072279587,0.007942811755361398,0.11358220810166798,0.2907069102462272,0.2017474185861795,0.15011914217633043,0.06671961874503574,0.31850675138999207
Tamil Nadu,0.9800683661842485,0.09889287597149708,1.0,0.0,1.0,1.0,0.9800513596707539,1.0,1.0,0.987738303770344,0.9885886294450774,1.0,0.37560585704324756,0.18710566146834237,1.0,0.8678253771194367,0.00039114981037737456,0.917977585415214,0.7401234672879713,0.41092838557167394,0.2989575007227768,0.032482440774816754,0.09889287597149708
Telangana,0.8040990645962445,0.041176334052874686,0.6672469419492607,0.017918900726504653,0.9540886196411578,0.9385836640902444,0.6762992363577282,0.8639370517373441,0.9033725599424367,0.775897685862173,0.9006336606085927,0.8848269619107304,0.22948726876029987,0.09976092658357125,0.9170670566116566,0.7361604345101316,0.0005106422486827751,0.2223614882900448,0.7518742891627789,0.3194067265510758,0.055822482185548826,0.0466773437318664,0.040874590905925774
The Dadra And Nagar Haveli And Daman And Diu,0.991304347826087,0.3826086956521739,0.7695652173913043,0.013043478260869565,1.0,1.0,0.991304347826087,1.0,1.0,0.9891304347826086,0.9891304347826086,1.0,0.5739130434782609,0.7847826086956522,0.9869565217391304,0.9978260869565218,0.06521739130434782,0.7739130434782608,0.9282608695652174,0.8760869565217392,0.8565217391304348,0.11956521739130435,0.3826086956521739
Tripura,0.9054574964495841,0.09616555082166768,0.6283221748833435,0.006897950902820044,0.8393183201460742,0.5733414485696896,0.7244877257050112,0.7549198620409819,0.5498072631365388,0.7447758165956584,0.8947048082775411,0.8559545546764049,0.18178129438019883,0.27672955974842767,0.7086630148103064,0.779874213836478,0.004057618178129438,0.02901196997362548,0.6299452221545953,0.35280990058835465,0.08784743355650233,0.023128423615337797,0.09373097991479001
Uttar Pradesh,0.9690646143830361,0.03204755593790447,0.40042394227564776,0.016442295023522208,0.9909980081688329,0.8451680655986732,0.9511226332473048,0.965855983631333,0.8132251389244112,0.9673401691118914,0.9838599672936672,0.9261704914475265,0.21140536476861432,0.19358351352817627,0.7903849581870461,0.7616700380540508,0.0001201298952932332,0.12038178055755772,0.6445278895114976,0.47252900555697647,0.23972114363660318,0.08813271640819363,0.028455284552845527
Uttarakhand,0.9418365110672803,0.1552049090510629,0.480692526846373,0.01450799912338374,0.9694499232960772,0.9156256848564541,0.8804295419680035,0.9247424939732632,0.8861275476660092,0.9028270874424721,0.9512601358755205,0.9641902257286873,0.2737234275695814,0.4321279859741398,0.9154503616042078,0.7770326539557308,0.0008766162612316459,0.06982248520710059,0.616787201402586,0.40368178829717294,0.06890203813280736,0.04049967126890204,0.14345825115055885
West Bengal,0.9694017563117453,0.08570463564975091,0.7951321455712235,0.00395803428185426,0.9949020518449717,0.9729587097863717,0.9693278730051508,0.9949020518449717,0.9615701258127164,0.9881047876382674,0.9881786709448619,0.9755340707590981,0.16672295870978637,0.06856370851980073,0.8740500717723549,0.6603795491007346,0.0003377522587182302,0.035432322891159336,0.7724710799628473,0.5309465507050578,0.2996706915477497,0.033068057080131726,0.08549354048805201
